program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/SecureMin;3;50;25000;100;2;0:00:07.667;136048;8.13;49;4.18
UseCases/SecureMin;3;50;25000;100;5;0:00:10.313;136048;11.79;59;4.13
UseCases/SecureMin;3;50;25000;1000;0;0:00:06.575;1372648;7.03;92;4.32
UseCases/SecureMin;3;50;25000;1000;1;0:00:12.569;1372648;13.03;86;4.14
UseCases/SecureMin;3;50;25000;1000;2;0:00:17.037;1372648;17.50;90;4.14
UseCases/SecureMin;3;50;25000;1000;5;0:00:25.531;1372648;26.00;88;4.30
UseCases/SecureMin;3;50;25000;10000;0;0:00:31.881;13738648;32.37;494;4.56
UseCases/SecureMin;3;50;25000;10000;1;0:01:17.621;13738648;78.11;488;4.70
UseCases/SecureMin;3;50;25000;10000;2;0:01:40.588;13738648;101.06;484;4.91
UseCases/SecureMin;3;50;25000;10000;5;0:02:36.249;13738648;157.40;504;5.07
UseCases/SecureMin;3;50;10000;100;0;0:00:04.051;136048;4.49;55;4.16
UseCases/SecureMin;3;50;10000;100;1;0:00:06.168;136048;6.60;47;4.03
UseCases/SecureMin;3;50;10000;100;2;0:00:08.573;136048;10.06;47;4.17
UseCases/SecureMin;3;50;10000;100;5;0:00:09.973;136048;11.60;63;4.13
UseCases/SecureMin;3;50;10000;1000;0;0:00:06.589;1372648;7.05;92;4.10
UseCases/SecureMin;3;50;10000;1000;1;0:00:12.345;1372648;12.81;92;4.17
UseCases/SecureMin;3;50;10000;1000;2;0:00:17.683;1372648;18.25;94;4.08
UseCases/SecureMin;3;50;10000;1000;5;0:00:29.101;1372648;29.67;98;4.22
UseCases/SecureMin;3;50;10000;10000;0;0:00:32.842;13738648;33.33;488;4.75
UseCases/SecureMin;3;50;10000;10000;1;0:01:14.929;13738648;75.42;484;4.77
UseCases/SecureMin;3;50;10000;10000;2;0:01:37.707;13738648;98.20;486;4.99
UseCases/SecureMin;3;50;10000;10000;5;0:02:38.667;13738648;159.10;488;5.08
UseCases/SecureMin;3;50;1000;100;0;0:00:04.033;136048;4.50;59;4.17
UseCases/SecureMin;3;50;1000;100;1;0:00:06.524;136048;6.97;49;4.11
UseCases/SecureMin;3;50;1000;100;2;0:00:07.812;136048;8.28;47;4.09
UseCases/SecureMin;3;50;1000;100;5;0:00:10.220;136048;10.72;47;4.12
UseCases/SecureMin;3;50;1000;1000;0;0:00:06.739;1372648;7.20;84;4.27
UseCases/SecureMin;3;50;1000;1000;1;0:00:14.184;1372648;14.65;98;4.20
UseCases/SecureMin;3;50;1000;1000;2;0:00:17.748;1372648;18.20;90;4.16
UseCases/SecureMin;3;50;1000;1000;5;0:00:25.604;1372648;26.07;100;4.23
UseCases/SecureMin;3;50;1000;10000;0;0:00:32.844;13738648;33.33;478;4.80
UseCases/SecureMin;3;50;1000;10000;1;0:01:18.810;13738648;79.25;480;4.74
UseCases/SecureMin;3;50;1000;10000;2;0:01:43.674;13738648;105.17;492;4.87
UseCases/SecureMin;3;50;1000;10000;5;0:02:44.127;13738648;164.77;488;5.06
UseCases/SecureMin;3;50;100;100;0;0:00:04.067;136048;4.52;43;4.16
UseCases/SecureMin;3;50;100;100;1;0:00:06.036;136048;6.50;59;4.00
UseCases/SecureMin;3;50;100;100;2;0:00:07.439;136048;7.91;57;4.11
UseCases/SecureMin;3;50;100;100;5;0:00:11.188;136048;11.64;57;4.20
UseCases/SecureMin;3;50;100;1000;0;0:00:06.528;1372648;6.99;96;4.29
UseCases/SecureMin;3;50;100;1000;1;0:00:13.767;1372648;14.19;88;4.24
