program;partysize;param2;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:21.983;90561677;82.42;336;6.62
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:21.866;90562048;82.28;332;6.66
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:22.067;90561806;82.49;338;6.84
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:22.091;90561452;82.50;335;6.72
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:21.873;90561899;82.30;335;6.79
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:22.220;90561874;82.66;357;6.63
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:22.051;90561672;82.49;329;6.63
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:21.959;90562004;82.37;333;6.69
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:22.303;90561939;82.74;330;7.10
UseCases/LogisticRegression;3;5;50;25000;300;0;0:01:21.916;90561858;82.35;333;6.98
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.279;90561547;117.84;345;7.73
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.197;90561945;117.75;342;7.82
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.445;90561805;118.01;341;7.59
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.856;90561833;118.39;348;7.53
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.323;90561301;117.88;336;7.44
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.250;90561522;117.81;341;7.79
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.349;90562001;117.89;343;7.76
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.138;90561902;117.70;352;7.51
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.370;90561800;117.93;328;7.76
UseCases/LogisticRegression;3;5;75;25000;300;0;0:01:57.484;90561700;118.03;339;7.65
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:14.760;90561586;15.01;342;5.09
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:15.150;90561587;15.40;339;4.91
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:14.857;90561746;15.13;336;5.20
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:15.327;90561838;15.61;337;5.11
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:16.502;90561609;16.79;371;5.17
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:15.751;90561606;16.04;361;5.07
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:15.846;90562074;16.13;379;5.38
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:15.141;90562118;15.42;328;5.25
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:14.995;90562079;15.28;360;5.18
UseCases/LogisticRegression;3;5;0;25000;300;1;0:00:14.045;90561975;14.33;335;5.11
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:17.123;90562248;17.41;370;5.10
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:17.877;90561759;18.27;334;5.29
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:16.414;90561911;16.67;352;5.30
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:16.659;90561691;16.95;352;5.16
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:16.808;90561747;17.09;335;5.17
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:19.094;90561700;19.37;349;5.23
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:16.171;90561793;16.46;340;5.30
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:16.741;90561805;17.02;348;5.19
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:19.396;90561875;19.58;340;5.04
UseCases/LogisticRegression;3;5;0;25000;300;2;0:00:15.973;90561708;16.26;335;5.30
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:30.035;90561931;30.30;333;5.51
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:28.081;90561985;28.34;332;5.50
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:26.315;90562047;27.50;356;5.54
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:26.482;90561757;26.76;344;5.24
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:29.528;90561896;29.71;364;5.55
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:32.146;90561916;32.32;336;5.62
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:31.642;90561955;32.92;350;5.55
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:30.063;90561917;31.35;341;5.45
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:26.861;90561670;27.12;366;5.63
UseCases/LogisticRegression;3;5;0;25000;300;5;0:00:29.268;90561569;29.53;353;5.63

