program;partysize;latencies(ms);bandwidths(Mbs);packetdrops(%);runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
Benchmarks/compare;3;150;25000;10;0:00:01.804;13301965;2.04;166580;4.44
Benchmarks/compare;3;150;10000;0;0:00:01.951;13301909;2.13;156936;4.35
Benchmarks/compare;3;150;10000;1;0:00:02.214;13302069;2.49;154616;4.31
Benchmarks/compare;3;150;10000;2;0:00:02.042;13301955;2.33;160636;4.21
Benchmarks/compare;3;150;10000;5;0:00:02.388;13301986;2.66;167848;4.33
Benchmarks/compare;3;150;10000;10;0:00:02.037;13301807;2.31;159016;4.33
Benchmarks/compare;3;150;1000;0;0:00:01.879;13301894;2.14;191360;4.43
Benchmarks/compare;3;150;1000;1;0:00:02.348;13301978;2.53;164380;4.33
Benchmarks/compare;3;150;1000;2;0:00:01.927;13301985;2.19;160316;4.37
Benchmarks/compare;3;150;1000;5;0:00:01.987;13302138;2.27;168484;4.31
Benchmarks/compare;3;150;1000;10;0:00:02.357;13301949;2.60;179024;4.41
Benchmarks/compare;3;150;100;0;0:00:02.526;13301904;2.80;170708;4.31
Benchmarks/compare;3;150;100;1;0:00:02.639;13301919;2.82;160672;4.36
Benchmarks/compare;3;150;100;2;0:00:03.187;13301951;3.48;156260;4.54
Benchmarks/compare;3;150;100;5;0:00:03.323;13302169;3.51;168184;4.22
Benchmarks/compare;3;150;100;10;0:00:02.422;13301868;2.70;162808;4.45
