program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time (s)
Benchmarks/Division;3;0;1000;10;2;0:00:00.609;73023;0.86;53800;4.05
Benchmarks/Division;3;0;1000;10;5;0:00:01.149;73023;1.44;58864;4.05
Benchmarks/Division;3;0;1000;10;10;0:00:03.946;73023;4.17;55504;4.01
Benchmarks/Division;3;0;1000;100;0;0:00:03.305;730023;3.56;175896;4.13
Benchmarks/Division;3;0;1000;100;1;0:00:03.005;730023;3.29;190172;4.18
Benchmarks/Division;3;0;1000;100;2;0:00:03.797;730023;4.09;209392;4.22
Benchmarks/Division;3;0;1000;100;5;0:00:05.513;730023;5.76;173776;4.22
Benchmarks/Division;3;0;1000;100;10;0:00:13.427;730023;13.66;187948;4.20
Benchmarks/Division;3;0;1000;1000;0;0:00:46.978;7300023;47.25;1461824;4.93
Benchmarks/Division;3;0;1000;1000;1;0:00:48.296;7300023;48.59;1468856;4.78
Benchmarks/Division;3;0;1000;1000;2;0:00:47.547;7300023;47.74;1432120;4.83
Benchmarks/Division;3;0;1000;1000;5;0:00:49.780;7300023;50.06;1460636;4.75
Benchmarks/Division;3;0;1000;1000;10;0:01:00.245;7300023;61.77;1428772;4.77
Benchmarks/Division;3;0;100;10;0;0:00:00.265;73023;0.53;56980;4.06
Benchmarks/Division;3;0;100;10;1;0:00:00.265;73023;0.51;55708;4.04
Benchmarks/Division;3;0;100;10;2;0:00:00.269;73023;0.56;62584;4.10
Benchmarks/Division;3;0;100;10;5;0:00:00.517;73023;0.81;60664;3.97
Benchmarks/Division;3;0;100;10;10;0:00:07.250;73023;7.47;53432;4.11
Benchmarks/Division;3;0;100;100;0;0:00:03.059;730023;3.32;178304;4.00
Benchmarks/Division;3;0;100;100;1;0:00:02.957;730023;3.22;196608;4.19
Benchmarks/Division;3;0;100;100;2;0:00:02.998;730023;3.19;175188;3.99
Benchmarks/Division;3;0;100;100;5;0:00:06.848;730023;7.05;176960;4.18
Benchmarks/Division;3;0;100;100;10;0:00:08.540;730023;9.79;171092;4.06
Benchmarks/Division;3;0;100;1000;0;0:00:49.392;7300023;49.69;1297560;4.89
Benchmarks/Division;3;0;100;1000;1;0:00:48.556;7300023;48.86;1446000;4.79
Benchmarks/Division;3;0;100;1000;2;0:00:47.200;7300023;49.42;1459136;4.73
Benchmarks/Division;3;0;100;1000;5;0:00:48.731;7300023;49.05;1337312;4.69
Benchmarks/Division;3;0;100;1000;10;0:01:02.642;7300023;65.01;1376164;4.67
Benchmarks/Division;3;25;25000;10;0;0:00:01.055;73023;1.36;60976;4.03
Benchmarks/Division;3;25;25000;10;1;0:00:01.753;73023;2.11;65024;4.12
Benchmarks/Division;3;25;25000;10;2;0:00:01.759;73023;2.09;71084;3.94
Benchmarks/Division;3;25;25000;10;5;0:00:02.440;73023;2.78;55936;4.01
Benchmarks/Division;3;25;25000;10;10;0:00:03.732;73023;5.63;62128;4.06
Benchmarks/Division;3;25;25000;100;0;0:00:03.663;730023;3.99;211340;4.25
Benchmarks/Division;3;25;25000;100;1;0:00:06.231;730023;6.61;207868;4.09
Benchmarks/Division;3;25;25000;100;2;0:00:07.768;730023;8.22;199272;4.14
Benchmarks/Division;3;25;25000;100;5;0:00:12.200;730023;12.55;189112;4.14
Benchmarks/Division;3;25;25000;100;10;0:00:14.339;730023;15.07;185028;4.26
Benchmarks/Division;3;25;25000;1000;0;0:00:48.345;7300023;48.68;1299552;4.98
Benchmarks/Division;3;25;25000;1000;1;0:00:56.534;7300023;56.90;1365488;4.82
Benchmarks/Division;3;25;25000;1000;2;0:01:05.703;7300023;66.09;1387216;4.66
Benchmarks/Division;3;25;25000;1000;5;0:01:20.016;7300023;80.36;1301820;4.74
Benchmarks/Division;3;25;25000;1000;10;0:01:31.477;7300023;93.46;1278008;4.89
Benchmarks/Division;3;25;10000;10;0;0:00:01.026;73023;1.37;59040;4.12
Benchmarks/Division;3;25;10000;10;1;0:00:01.751;73023;2.23;52800;4.03
Benchmarks/Division;3;25;10000;10;2;0:00:02.025;73023;2.34;59180;4.06
Benchmarks/Division;3;25;10000;10;5;0:00:03.207;73023;3.65;58472;4.13
Benchmarks/Division;3;25;10000;10;10;0:00:04.391;73023;4.71;69972;4.08
Benchmarks/Division;3;25;10000;100;0;0:00:03.478;730023;3.81;193028;4.16
Benchmarks/Division;3;25;10000;100;1;0:00:05.617;730023;5.98;195116;4.25
Benchmarks/Division;3;25;10000;100;2;0:00:08.151;730023;8.67;188092;4.26
Benchmarks/Division;3;25;10000;100;5;0:00:11.635;730023;11.97;197680;4.18
Benchmarks/Division;3;25;10000;100;10;0:00:15.707;730023;16.41;185188;4.14
Benchmarks/Division;3;25;10000;1000;0;0:00:46.648;7300023;46.95;1274692;4.78
Benchmarks/Division;3;25;10000;1000;1;0:00:59.550;7300023;60.47;1275892;4.55
Benchmarks/Division;3;25;10000;1000;2;0:01:06.191;7300023;67.59;1348176;4.74
Benchmarks/Division;3;25;10000;1000;5;0:01:13.820;7300023;75.17;1291012;4.73
Benchmarks/Division;3;25;10000;1000;10;0:01:36.411;7300023;96.74;1276412;4.71
Benchmarks/Division;3;25;1000;10;0;0:00:01.057;73023;1.40;64880;3.96
Benchmarks/Division;3;25;1000;10;1;0:00:01.635;73023;3.00;72852;4.06
Benchmarks/Division;3;25;1000;10;2;0:00:02.016;73023;2.37;68960;4.05
Benchmarks/Division;3;25;1000;10;5;0:00:03.039;73023;3.47;59116;4.18
Benchmarks/Division;3;25;1000;10;10;0:00:04.320;73023;4.65;61228;4.22
Benchmarks/Division;3;25;1000;100;0;0:00:03.752;730023;4.08;203424;4.11
Benchmarks/Division;3;25;1000;100;1;0:00:05.602;730023;5.97;190700;4.14
Benchmarks/Division;3;25;1000;100;2;0:00:07.979;730023;9.35;195816;4.26
Benchmarks/Division;3;25;1000;100;5;0:00:10.656;730023;11.02;182476;4.08
Benchmarks/Division;3;25;1000;100;10;0:00:15.301;730023;15.64;198584;4.18
Benchmarks/Division;3;25;1000;1000;0;0:00:47.544;7300023;47.87;1281204;4.85
Benchmarks/Division;3;25;1000;1000;1;0:00:57.971;7300023;58.33;1377304;4.78
Benchmarks/Division;3;25;1000;1000;2;0:00:58.160;7300023;58.57;1427000;4.80
Benchmarks/Division;3;25;1000;1000;5;0:01:17.476;7300023;80.90;1371360;4.92
Benchmarks/Division;3;25;1000;1000;10;0:01:32.117;7300023;93.88;1363508;4.76
Benchmarks/Division;3;25;100;10;0;0:00:01.049;73023;1.39;55016;4.18
Benchmarks/Division;3;25;100;10;1;0:00:01.629;73023;2.10;56576;4.15
Benchmarks/Division;3;25;100;10;2;0:00:02.206;73023;2.65;73268;4.10
Benchmarks/Division;3;25;100;10;5;0:00:02.500;73023;2.86;60356;4.05
Benchmarks/Division;3;25;100;10;10;0:00:05.561;73023;5.92;59308;4.13
Benchmarks/Division;3;25;100;100;0;0:00:03.496;730023;3.83;194148;4.14
Benchmarks/Division;3;25;100;100;1;0:00:05.851;730023;6.21;163884;4.13
Benchmarks/Division;3;25;100;100;2;0:00:07.244;730023;7.57;179060;4.10
Benchmarks/Division;3;25;100;100;5;0:00:10.802;730023;11.22;188532;4.23
Benchmarks/Division;3;25;100;100;10;0:00:17.133;730023;17.79;190760;4.10
Benchmarks/Division;3;25;100;1000;0;0:00:55.901;7300023;56.23;1294056;4.93
Benchmarks/Division;3;25;100;1000;1;0:00:56.976;7300023;57.35;1414152;4.78
Benchmarks/Division;3;25;100;1000;2;0:01:04.750;7300023;65.17;1310312;4.78
Benchmarks/Division;3;25;100;1000;5;0:01:19.169;7300023;80.53;1305004;4.84
Benchmarks/Division;3;25;100;1000;10;0:01:32.280;7300023;93.00;1331092;4.76
Benchmarks/Division;3;50;25000;10;0;0:00:01.915;73023;2.38;72960;4.04
Benchmarks/Division;3;50;25000;10;1;0:00:02.915;73023;3.38;70800;4.15
Benchmarks/Division;3;50;25000;10;2;0:00:03.418;73023;3.84;75208;4.11
Benchmarks/Division;3;50;25000;10;5;0:00:04.332;73023;4.74;57124;4.13
Benchmarks/Division;3;50;25000;10;10;0:00:05.992;73023;7.46;61876;4.09
Benchmarks/Division;3;50;25000;100;0;0:00:04.628;730023;5.12;185552;4.10
Benchmarks/Division;3;50;25000;100;1;0:00:08.221;730023;8.78;195144;4.17
Benchmarks/Division;3;50;25000;100;2;0:00:12.655;730023;13.13;175292;4.08
Benchmarks/Division;3;50;25000;100;5;0:00:16.924;730023;17.43;181940;4.29
Benchmarks/Division;3;50;25000;100;10;0:00:25.945;730023;26.80;178124;4.27
Benchmarks/Division;3;50;25000;1000;0;0:00:50.420;7300023;50.90;1318712;4.78
Benchmarks/Division;3;50;25000;1000;1;0:01:08.283;7300023;68.76;1305716;4.83
Benchmarks/Division;3;50;25000;1000;2;0:01:21.063;7300023;81.67;1287192;4.75
Benchmarks/Division;3;50;25000;1000;5;0:01:34.272;7300023;94.73;1514276;4.88
Benchmarks/Division;3;50;25000;1000;10;0:02:23.373;7300023;144.08;1301172;4.86
Benchmarks/Division;3;50;10000;10;0;0:00:01.914;73023;2.38;62876;4.06
Benchmarks/Division;3;50;10000;10;1;0:00:03.092;73023;3.56;52508;4.05
Benchmarks/Division;3;50;10000;10;2;0:00:03.599;73023;4.02;58992;4.15
Benchmarks/Division;3;50;10000;10;5;0:00:05.023;73023;5.42;54744;4.06
Benchmarks/Division;3;50;10000;10;10;0:00:07.633;73023;9.07;54944;4.21
Benchmarks/Division;3;50;10000;100;0;0:00:04.635;730023;5.08;186904;4.14
Benchmarks/Division;3;50;10000;100;1;0:00:09.713;730023;10.24;197092;4.42
Benchmarks/Division;3;50;10000;100;2;0:00:11.807;730023;12.33;190928;4.16
Benchmarks/Division;3;50;10000;100;5;0:00:17.429;730023;17.86;190680;4.15
Benchmarks/Division;3;50;10000;100;10;0:00:33.251;730023;33.68;186392;4.24
Benchmarks/Division;3;50;10000;1000;0;0:00:46.597;7300023;47.10;1378680;4.86
Benchmarks/Division;3;50;10000;1000;1;0:01:10.770;7300023;71.28;1266604;4.55
Benchmarks/Division;3;50;10000;1000;2;0:01:26.727;7300023;87.17;1374328;4.75
Benchmarks/Division;3;50;10000;1000;5;0:01:48.109;7300023;108.56;1270696;4.60
Benchmarks/Division;3;50;10000;1000;10;0:02:13.825;7300023;134.27;1264244;4.77
Benchmarks/Division;3;50;1000;10;0;0:00:01.931;73023;2.38;56640;4.18
Benchmarks/Division;3;50;1000;10;1;0:00:03.326;73023;3.80;73144;3.95
Benchmarks/Division;3;50;1000;10;2;0:00:03.595;73023;4.37;63184;4.07
Benchmarks/Division;3;50;1000;10;5;0:00:05.217;73023;5.63;57092;4.11
Benchmarks/Division;3;50;1000;10;10;0:00:09.374;73023;11.23;73368;4.05
Benchmarks/Division;3;50;1000;100;0;0:00:04.421;730023;4.90;206924;4.31
Benchmarks/Division;3;50;1000;100;1;0:00:08.161;730023;8.66;180924;4.06
Benchmarks/Division;3;50;1000;100;2;0:00:10.967;730023;11.52;184776;4.31
Benchmarks/Division;3;50;1000;100;5;0:00:16.998;730023;18.60;178540;4.16
Benchmarks/Division;3;50;1000;100;10;0:00:29.883;730023;30.92;177916;4.17
Benchmarks/Division;3;50;1000;1000;0;0:00:46.461;7300023;46.90;1266748;4.67
Benchmarks/Division;3;50;1000;1000;1;0:01:13.024;7300023;73.89;1271948;4.81
Benchmarks/Division;3;50;1000;1000;2;0:01:22.642;7300023;83.17;1266564;4.84
Benchmarks/Division;3;50;1000;1000;5;0:01:54.936;7300023;115.77;1328592;4.96
Benchmarks/Division;3;50;1000;1000;10;0:02:07.680;7300023;128.13;1316408;4.65
Benchmarks/Division;3;50;100;10;0;0:00:01.951;73023;2.42;60808;4.18
Benchmarks/Division;3;50;100;10;1;0:00:03.125;73023;3.58;56980;4.04
Benchmarks/Division;3;50;100;10;2;0:00:03.833;73023;4.26;57424;4.13
Benchmarks/Division;3;50;100;10;5;0:00:05.925;73023;6.53;63732;3.99
Benchmarks/Division;3;50;100;10;10;0:00:06.607;73023;7.48;52256;4.20
Benchmarks/Division;3;50;100;100;0;0:00:04.525;730023;5.00;176808;4.24
Benchmarks/Division;3;50;100;100;1;0:00:08.353;730023;8.88;176696;4.16
Benchmarks/Division;3;50;100;100;2;0:00:10.627;730023;11.34;199140;4.11
Benchmarks/Division;3;50;100;100;5;0:00:16.811;730023;18.31;208276;4.21
Benchmarks/Division;3;50;100;100;10;0:00:29.347;730023;29.87;199300;4.31
Benchmarks/Division;3;50;100;1000;0;0:00:48.745;7300023;49.22;1274524;4.81
Benchmarks/Division;3;50;100;1000;1;0:01:13.059;7300023;73.60;1269108;4.71
Benchmarks/Division;3;50;100;1000;2;0:01:24.468;7300023;85.09;1390676;4.76
Benchmarks/Division;3;50;100;1000;5;0:01:42.617;7300023;103.41;1347536;4.73
Benchmarks/Division;3;50;100;1000;10;0:02:13.174;7300023;133.67;1316328;4.89
Benchmarks/Division;3;75;25000;10;0;0:00:02.836;73023;3.43;68856;4.10
Benchmarks/Division;3;75;25000;10;1;0:00:04.761;73023;5.73;61216;4.06
Benchmarks/Division;3;75;25000;10;2;0:00:05.509;73023;6.66;52472;4.06
Benchmarks/Division;3;75;25000;10;5;0:00:06.427;73023;6.93;67896;4.15
Benchmarks/Division;3;75;25000;10;10;0:00:11.698;73023;13.37;60724;4.05
Benchmarks/Division;3;75;25000;100;0;0:00:04.972;730023;5.59;176068;4.31
Benchmarks/Division;3;75;25000;100;1;0:00:13.770;730023;14.29;189404;4.20
Benchmarks/Division;3;75;25000;100;2;0:00:13.950;730023;14.62;192352;4.16
Benchmarks/Division;3;75;25000;100;5;0:00:25.699;730023;26.36;196644;4.21
Benchmarks/Division;3;75;25000;100;10;0:00:37.216;730023;38.92;172948;4.15
Benchmarks/Division;3;75;25000;1000;0;0:00:48.364;7300023;49.05;1386288;4.88
Benchmarks/Division;3;75;25000;1000;1;0:01:22.671;7300023;83.34;1273548;4.89
Benchmarks/Division;3;75;25000;1000;2;0:01:41.239;7300023;102.82;1311676;4.75
Benchmarks/Division;3;75;25000;1000;5;0:02:10.923;7300023;133.18;1376316;4.81
Benchmarks/Division;3;75;25000;1000;10;0:03:11.962;7300023;192.46;1280332;4.89
Benchmarks/Division;3;75;10000;10;0;0:00:02.833;73023;3.43;64892;4.01
Benchmarks/Division;3;75;10000;10;1;0:00:04.652;73023;5.27;68992;4.05
Benchmarks/Division;3;75;10000;10;2;0:00:04.981;73023;5.65;60864;4.16
Benchmarks/Division;3;75;10000;10;5;0:00:07.784;73023;8.27;67948;4.06
Benchmarks/Division;3;75;10000;10;10;0:00:10.104;73023;11.13;54664;4.20
Benchmarks/Division;3;75;10000;100;0;0:00:05.876;730023;6.48;197080;4.25
Benchmarks/Division;3;75;10000;100;1;0:00:09.696;730023;10.35;219628;4.13
Benchmarks/Division;3;75;10000;100;2;0:00:16.499;730023;17.22;185952;4.23
Benchmarks/Division;3;75;10000;100;5;0:00:22.977;730023;23.85;201036;4.18
Benchmarks/Division;3;75;10000;100;10;0:00:46.670;730023;47.19;192664;4.04
Benchmarks/Division;3;75;10000;1000;0;0:00:47.923;7300023;48.55;1318320;4.82
Benchmarks/Division;3;75;10000;1000;1;0:01:24.401;7300023;84.94;1343676;4.87
Benchmarks/Division;3;75;10000;1000;2;0:01:35.104;7300023;96.08;1308756;4.79
Benchmarks/Division;3;75;10000;1000;5;0:02:05.908;7300023;126.43;1292164;4.76
Benchmarks/Division;3;75;10000;1000;10;0:03:24.302;7300023;208.83;1337036;4.93
Benchmarks/Division;3;75;1000;10;0;0:00:02.839;73023;3.43;62936;4.11
Benchmarks/Division;3;75;1000;10;1;0:00:04.840;73023;5.41;61064;4.18
Benchmarks/Division;3;75;1000;10;2;0:00:04.768;73023;5.43;57288;4.07
Benchmarks/Division;3;75;1000;10;5;0:00:07.527;73023;9.18;58908;4.06
Benchmarks/Division;3;75;1000;10;10;0:00:11.095;73023;12.37;59044;4.23
Benchmarks/Division;3;75;1000;100;0;0:00:06.020;730023;6.62;181280;4.19
Benchmarks/Division;3;75;1000;100;1;0:00:12.577;730023;13.24;201012;4.15
Benchmarks/Division;3;75;1000;100;2;0:00:12.286;730023;13.37;172472;4.17
Benchmarks/Division;3;75;1000;100;5;0:00:21.979;730023;22.66;197380;4.24
Benchmarks/Division;3;75;1000;100;10;0:00:42.740;730023;43.26;196436;4.29
Benchmarks/Division;3;75;1000;1000;0;0:00:48.668;7300023;49.28;1285744;4.69
Benchmarks/Division;3;75;1000;1000;1;0:01:29.461;7300023;90.16;1360080;4.80
Benchmarks/Division;3;75;1000;1000;2;0:01:40.150;7300023;100.82;1290648;4.73
Benchmarks/Division;3;75;1000;1000;5;0:02:09.258;7300023;131.13;1277168;4.71
Benchmarks/Division;3;75;1000;1000;10;0:02:52.298;7300023;172.85;1358664;4.87
Benchmarks/Division;3;75;100;10;0;0:00:02.818;73023;3.41;73208;4.15
Benchmarks/Division;3;75;100;10;1;0:00:04.279;73023;4.94;71252;4.04
Benchmarks/Division;3;75;100;10;2;0:00:06.306;73023;6.89;69044;4.16
Benchmarks/Division;3;75;100;10;5;0:00:07.470;73023;8.50;55272;4.12
Benchmarks/Division;3;75;100;10;10;0:00:09.902;73023;10.72;56312;4.03
Benchmarks/Division;3;75;100;100;0;0:00:06.008;730023;6.63;176936;4.24
Benchmarks/Division;3;75;100;100;1;0:00:11.062;730023;11.75;201008;4.17
Benchmarks/Division;3;75;100;100;2;0:00:17.165;730023;17.85;194888;4.05
Benchmarks/Division;3;75;100;100;5;0:00:25.078;730023;25.61;179300;4.30
Benchmarks/Division;3;75;100;100;10;0:00:41.747;730023;42.27;200412;4.20
Benchmarks/Division;3;75;100;1000;0;0:00:50.313;7300023;50.92;1285548;4.80
Benchmarks/Division;3;75;100;1000;1;0:01:22.387;7300023;82.95;1299580;4.70
Benchmarks/Division;3;75;100;1000;2;0:01:46.280;7300023;107.52;1497684;4.85
Benchmarks/Division;3;75;100;1000;5;0:02:18.777;7300023;139.96;1302064;4.65
Benchmarks/Division;3;75;100;1000;10;0:02:57.999;7300023;180.27;1288332;4.94
