program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s);Preprocessing Time(s);Online Phase(s)
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.260211;0.44;33;86%;~695;0.529922;1.58977;0.11;0.0145724;0.244236
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.358022;0.53;33;86%;~695;0.529922;1.58977;0.18;0.0163492;0.340074
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.355266;0.52;29;89%;~695;0.529922;1.58977;0.18;0.0147884;0.338831
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.340861;0.52;31;86%;~695;0.529922;1.58977;0.16;0.0145272;0.324785
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.353923;0.52;29;87%;~695;0.529922;1.58977;0.20;0.013812;0.338298
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;100;0;0.352943;0.53;35;86%;~695;0.529922;1.58977;0.20;0.0148265;0.336268
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.364833;0.53;29;89%;~695;0.529922;1.58977;0.18;0.0141687;0.349093
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.197184;0.37;29;81%;~695;0.529922;1.58977;0.07;0.0145755;0.181838
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.368586;0.55;31;83%;~695;0.529922;1.58977;0.20;0.0147198;0.352257
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.348821;0.52;34;88%;~695;0.529922;1.58977;0.14;0.0168249;0.330063
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.361963;0.53;34;91%;~695;0.529922;1.58977;0.19;0.0153144;0.344969
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.34952;0.52;31;89%;~695;0.529922;1.58977;0.18;0.0148092;0.333024
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.352163;0.53;29;89%;~695;0.529922;1.58977;0.22;0.0140198;0.336807
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.335924;0.51;31;92%;~695;0.529922;1.58977;0.18;0.0151342;0.319218
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.188327;0.36;30;84%;~695;0.529922;1.58977;0.10;0.015036;0.171974
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;100;0;0.313448;0.48;30;76%;~695;0.529922;1.58977;0.16;0.0139998;0.297818
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;100;0;0.38745;0.56;34;77%;~695;0.529922;1.58977;0.12;0.0257506;0.359909
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;100;0;0.407006;0.58;31;76%;~695;0.529922;1.58977;0.18;0.0256546;0.379666
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;100;0;0.395987;0.57;32;85%;~695;0.529922;1.58977;0.22;0.0255851;0.368583
62;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;100;0;0.424204;0.60;32;85%;~695;0.529922;1.58977;0.16;0.0265557;0.395816
