program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             25000            50          1.91771              2.00                 13            56%        ~4705         0.35193         0.95083          0.66
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             25000            100         7.46204              7.53                 20            103%       ~18505        1.38738         3.75016          4.73
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             25000            500         217.854              217.93               20            98%        ~448457       34.6357         93.608           124.69
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             10000            50          2.20301              2.28                 17            98%        ~4705         0.35193         0.95083          1.34
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             10000            100         7.76038              7.84                 22            79%        ~18505        1.38738         3.75016          3.60
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             10000            500         211.212              211.29               22            98%        ~448457       34.6357         93.608           121.00
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             1000             50          2.09648              2.17                 17            93%        ~4705         0.35193         0.95083          1.08
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             1000             100         8.54258              8.62                 20            84%        ~18505        1.38738         3.75016          4.17
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             1000             500         215.22               215.30               21            97%        ~448457       34.6357         93.608           121.60
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             100              50          2.28772              2.36                 17            93%        ~4705         0.35193         0.95083          1.28
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             100              100         9.17581              9.25                 20            93%        ~18505        1.38738         3.75016          4.89
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             100              500         210.538              210.62               22            97%        ~448457       34.6357         93.608           117.37
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            25000            50          2.25942              2.34                 15            97%        ~4705         0.35193         0.95083          1.31
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            25000            100         8.92437              9.00                 22            93%        ~18505        1.38738         3.75016          4.84
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            25000            500         217.084              217.16               23            97%        ~448457       34.6357         93.608           122.76
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            10000            50          2.02928              2.11                 17            65%        ~4705         0.35193         0.95083          0.88
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            10000            100         8.11583              8.19                 20            92%        ~18505        1.38738         3.75016          4.16
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            10000            500         209.608              209.69               22            98%        ~448457       34.6357         93.608           120.52
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            1000             50          2.26612              2.34                 15            96%        ~4705         0.35193         0.95083          1.27
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            1000             100         8.62442              8.71                 22            99%        ~18505        1.38738         3.75016          4.91
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            1000             500         213.061              213.14               21            97%        ~448457       34.6357         93.608           119.42
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            100              50          2.19111              2.27                 15            96%        ~4705         0.35193         0.95083          1.23
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            100              100         9.02243              9.11                 20            97%        ~18505        1.38738         3.75016          5.09
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            100              500         218.203              218.28               21            98%        ~448457       34.6357         93.608           123.90
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            25000            50          1.38506              1.46                 17            69%        ~4705         0.35193         0.95083          0.58
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            25000            100         8.22634              8.30                 20            104%       ~18505        1.38738         3.75016          4.99
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            25000            500         215.206              215.29               22            96%        ~448457       34.6357         93.608           118.52
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            10000            50          2.21835              2.30                 15            99%        ~4705         0.35193         0.95083          1.33
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            10000            100         8.73898              8.82                 22            95%        ~18505        1.38738         3.75016          4.91
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            10000            500         216.939              217.02               20            97%        ~448457       34.6357         93.608           118.92
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            1000             50          2.31179              2.39                 17            98%        ~4705         0.35193         0.95083          1.37
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            1000             100         8.78457              8.86                 22            94%        ~18505        1.38738         3.75016          5.08
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            1000             500         213.332              213.42               20            94%        ~448457       34.6357         93.608           117.60
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            100              50          2.2597               2.34                 17            96%        ~4705         0.35193         0.95083          1.37
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            100              100         8.68151              8.76                 20            91%        ~18505        1.38738         3.75016          4.56
62       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            100              500         221.858              221.93               21            98%        ~448457       34.6357         93.608           126.11
62       RING      malhonest   ps-rep-ring       3          0.25          22                 1                  1              25000            50          2.87436              2.95                 21            97%        ~7331         1.86933         5.608            1.79
62       RING      malhonest   ps-rep-ring       3          0.22          22                 1                  1              25000            100         14.0108              14.09                28            101%       ~29247        6.64497         19.9349          8.37
62       RING      malhonest   ps-rep-ring       3          0.25          22                 1                  1              25000            500         335.745              335.82               29            103%       ~698839       150.722         452.166          198.55
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              10000            50          3.50382              3.59                 21            101%       ~7331         1.86933         5.608            2.13
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              10000            100         12.6144              12.70                26            95%        ~29247        6.64497         19.9349          6.88
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              10000            500         338.855              338.94               31            102%       ~698839       150.722         452.166          199.86
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              1000             50          3.49714              3.58                 23            101%       ~7331         1.86933         5.608            1.98
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              1000             100         14.2528              14.34                28            99%        ~29247        6.64497         19.9349          7.86
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              1000             500         337.94               338.02               29            101%       ~698839       150.722         452.166          196.82
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              100              50          3.49852              3.57                 21            104%       ~7331         1.86933         5.608            2.03
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              100              100         13.9474              14.03                24            89%        ~29247        6.64497         19.9349          7.35
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 1              100              500         340.59               340.67               29            100%       ~698839       150.722         452.166          197.69
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             25000            50          3.56618              3.64                 21            99%        ~7331         1.86933         5.608            2.08
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             25000            100         13.321               13.40                26            102%       ~29247        6.64497         19.9349          8.02
62       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 30             25000            500         335.086              335.18               31            104%       ~698839       150.722         452.166          201.21
