program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            10000            10000       44.4391              44.52                30            110%       ~90165        24.9311         74.7934          27.67
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            1000             100         0.527368             0.61                 24            103%       ~1015         1.09676         3.29029          0.30
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            1000             10000       44.251               44.34                27            106%       ~90165        24.9311         74.7934          26.30
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            100              100         0.53115              0.61                 22            99%        ~1015         1.09676         3.29029          0.31
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 100            100              10000       43.3712              43.46                28            107%       ~90165        24.9311         74.7934          26.05
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            25000            100         0.486288             0.56                 22            101%       ~1015         1.09676         3.29029          0.32
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            25000            10000       43.7489              43.83                29            109%       ~90165        24.9311         74.7934          26.70
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            10000            100         0.466149             0.55                 22            105%       ~1015         1.09676         3.29029          0.26
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            10000            10000       43.5523              43.63                28            109%       ~90165        24.9311         74.7934          26.35
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            1000             100         0.379041             0.46                 22            81%        ~1015         1.09676         3.29029          0.15
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            1000             10000       34.7004              34.78                27            108%       ~90165        24.9311         74.7934          20.91
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            100              100         0.531118             0.61                 24            97%        ~1015         1.09676         3.29029          0.31
61       RING      malhonest   ps-rep-ring       3          NA            NA                 NA                 150            100              10000       44.7987              44.88                29            110%       ~90165        24.9311         74.7934          27.96
61       RING      semihonest  replicated-ring   3          1.05          48                 1                  1              25000            100         0.418892             0.50                 13            87%        ~854          0.01755         0.05265          0.20
61       RING      semihonest  replicated-ring   3          0.93          48                 1                  1              25000            10000       37.5027              37.58                15            91%        ~80062        1.59251         4.77754          19.54
61       RING      semihonest  replicated-ring   3          NA            NA                 NA                 1              10000            100         0.386538             0.46                 14            88%        ~854          0.01755         0.05265          0.14
