program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;input2_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.987;791.45;183;9%;~167668;26.5318;79.5953;44.28
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.018;791.49;182;9%;~167668;26.5318;79.5953;42.47
64;RING;semihonest;replicated-ring;3;1.10;38;1;0;25000;300;5;0;3.76793;3.99;180;932%;~167668;26.5318;79.5953;20.94
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.00456;4.26;182;908%;~167668;26.5318;79.5953;21.44
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.10204;4.33;179;894%;~167668;26.5318;79.5953;21.85
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.86113;4.05;182;933%;~167668;26.5318;79.5953;21.31
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.11554;4.32;180;903%;~167668;26.5318;79.5953;22.38
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.1695;4.39;184;885%;~167668;26.5318;79.5953;21.46
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.9449;4.16;180;923%;~167668;26.5318;79.5953;21.42
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.09824;4.35;182;891%;~167668;26.5318;79.5953;21.59
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.84921;4.04;178;935%;~167668;26.5318;79.5953;20.90
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.96105;4.19;182;918%;~167668;26.5318;79.5953;21.04
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;93.6339;95.02;184;54%;~167668;26.5318;79.5953;28.60
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;96.9342;98.31;183;52%;~167668;26.5318;79.5953;28.78
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;96.9417;99.17;182;52%;~167668;26.5318;79.5953;27.81
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;90.4406;92.00;184;55%;~167668;26.5318;79.5953;28.06
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;96.994;98.23;182;52%;~167668;26.5318;79.5953;28.08
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;93.08;94.65;180;54%;~167668;26.5318;79.5953;28.36
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;94.8539;98.09;186;52%;~167668;26.5318;79.5953;28.20
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;95.73;98.16;180;52%;~167668;26.5318;79.5953;28.33
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;96.9547;98.60;180;53%;~167668;26.5318;79.5953;27.93
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;1;94.9077;98.64;180;51%;~167668;26.5318;79.5953;28.31
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;146.041;147.43;175;37%;~167668;26.5318;79.5953;29.61
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;151.796;154.37;184;36%;~167668;26.5318;79.5953;29.74
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;143.309;145.13;183;38%;~167668;26.5318;79.5953;31.21
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;146.499;149.09;182;37%;~167668;26.5318;79.5953;30.19
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;143.855;149.05;184;37%;~167668;26.5318;79.5953;30.75
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;149.236;152.43;184;36%;~167668;26.5318;79.5953;30.06
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;143.985;146.18;184;37%;~167668;26.5318;79.5953;29.91
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;143.455;145.06;182;38%;~167668;26.5318;79.5953;30.46
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;147.402;148.98;176;37%;~167668;26.5318;79.5953;29.37
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;2;145.622;147.63;176;37%;~167668;26.5318;79.5953;30.23
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;329.945;333.15;178;21%;~167668;26.5318;79.5953;36.72
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;5;319.406;323.77;176;22%;~167668;26.5318;79.5953;37.09
