program              partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
Benchmarks/Division  3          1              1000             10          10              0:00:00.188          73023       0.45                62396        4.11
Benchmarks/Division  3          1              1000             100         0               0:00:03.059          730023      3.34                180492       4.19
Benchmarks/Division  3          1              1000             100         1               0:00:03.361          730023      3.61                188604       4.21
Benchmarks/Division  3          1              1000             100         2               0:00:02.985          730023      3.25                191268       4.14
Benchmarks/Division  3          1              1000             100         5               0:00:03.381          730023      3.67                175188       4.26
Benchmarks/Division  3          1              1000             100         10              0:00:03.051          730023      3.25                195048       4.12
Benchmarks/Division  3          1              1000             1000        0               0:00:51.400          7300023     51.70               1298092      4.87
Benchmarks/Division  3          1              1000             1000        1               0:00:46.846          7300023     47.15               1342604      4.81
Benchmarks/Division  3          1              1000             1000        2               0:00:50.258          7300023     50.55               1472932      4.91
Benchmarks/Division  3          1              1000             1000        5               0:00:47.908          7300023     48.22               1425848      4.79
Benchmarks/Division  3          1              1000             1000        10              0:00:52.646          7300023     52.94               1401340      4.91
Benchmarks/Division  3          1              100              10          0               0:00:00.263          73023       0.56                59080        4.05
Benchmarks/Division  3          1              100              10          1               0:00:00.264          73023       0.51                60968        3.97
Benchmarks/Division  3          1              100              10          2               0:00:00.268          73023       0.56                52116        4.26
Benchmarks/Division  3          1              100              10          5               0:00:00.259          73023       0.53                61792        4.06
Benchmarks/Division  3          1              100              10          10              0:00:00.167          73023       0.34                70468        4.22
Benchmarks/Division  3          1              100              100         0               0:00:03.302          730023      3.59                199276       4.14
Benchmarks/Division  3          1              100              100         1               0:00:03.295          730023      3.57                190804       4.20
Benchmarks/Division  3          1              100              100         2               0:00:03.218          730023      3.49                193640       4.11
Benchmarks/Division  3          1              100              100         5               0:00:03.159          730023      3.44                192216       4.05
Benchmarks/Division  3          1              100              100         10              0:00:03.291          730023      3.55                191692       4.09
Benchmarks/Division  3          1              100              1000        0               0:00:47.373          7300023     47.57               1304128      5.06
Benchmarks/Division  3          1              100              1000        1               0:00:47.213          7300023     47.49               1417956      4.64
Benchmarks/Division  3          1              100              1000        2               0:00:46.322          7300023     46.61               1447044      4.93
Benchmarks/Division  3          1              100              1000        5               0:00:49.491          7300023     49.79               1458144      4.85
Benchmarks/Division  3          1              100              1000        10              0:00:48.428          7300023     48.73               1385444      4.95
Benchmarks/Division  3          30             25000            10          0               0:00:00.258          73023       0.54                53668        4.08
Benchmarks/Division  3          30             25000            10          1               0:00:00.261          73023       0.53                61024        4.09
Benchmarks/Division  3          30             25000            10          2               0:00:00.301          73023       0.56                77840        4.08
Benchmarks/Division  3          30             25000            10          5               0:00:00.167          73023       0.33                70072        3.96
Benchmarks/Division  3          30             25000            10          10              0:00:00.192          73023       0.45                61716        4.06
Benchmarks/Division  3          30             25000            100         0               0:00:03.405          730023      3.60                178208       4.28
Benchmarks/Division  3          30             25000            100         1               0:00:03.121          730023      3.41                168840       4.23
Benchmarks/Division  3          30             25000            100         2               0:00:03.280          730023      3.47                185568       4.24
Benchmarks/Division  3          30             25000            100         5               0:00:03.002          730023      3.19                166852       4.10
Benchmarks/Division  3          30             25000            100         10              0:00:03.389          730023      3.58                207752       4.30
Benchmarks/Division  3          30             25000            1000        0               0:00:49.077          7300023     49.38               1393876      4.76
Benchmarks/Division  3          30             25000            1000        1               0:00:50.052          7300023     50.36               1361208      4.98
Benchmarks/Division  3          30             25000            1000        2               0:00:47.325          7300023     47.60               1411604      5.03
Benchmarks/Division  3          30             25000            1000        5               0:00:47.206          7300023     47.50               1471968      4.83
Benchmarks/Division  3          30             25000            1000        10              0:00:49.140          7300023     49.42               1462868      4.90
Benchmarks/Division  3          30             10000            10          0               0:00:00.274          73023       0.55                65644        4.12
Benchmarks/Division  3          30             10000            10          1               0:00:00.260          73023       0.54                66504        4.08
Benchmarks/Division  3          30             10000            10          2               0:00:00.263          73023       0.56                59144        4.00
Benchmarks/Division  3          30             10000            10          5               0:00:00.263          73023       0.45                65344        4.03
Benchmarks/Division  3          30             10000            10          10              0:00:00.275          73023       0.56                63240        4.13
Benchmarks/Division  3          30             10000            100         0               0:00:03.308          730023      3.51                182728       4.19
Benchmarks/Division  3          30             10000            100         1               0:00:02.797          730023      3.06                197612       4.02
Benchmarks/Division  3          30             10000            100         2               0:00:02.992          730023      3.17                175388       4.07
Benchmarks/Division  3          30             10000            100         5               0:00:03.004          730023      3.29                197680       4.24
Benchmarks/Division  3          30             10000            100         10              0:00:03.137          730023      3.43                188228       4.05
Benchmarks/Division  3          30             10000            1000        0               0:00:47.742          7300023     47.94               1348224      4.92
Benchmarks/Division  3          30             10000            1000        1               0:00:49.123          7300023     49.39               1457624      5.13
Benchmarks/Division  3          30             10000            1000        2               0:00:46.661          7300023     46.94               1467548      5.05
Benchmarks/Division  3          30             10000            1000        5               0:00:46.650          7300023     46.92               1469812      5.02
Benchmarks/Division  3          30             10000            1000        10              0:00:47.071          7300023     47.35               1460416      5.05
Benchmarks/Division  3          30             1000             10          0               0:00:00.188          73023       0.44                59592        3.95
Benchmarks/Division  3          30             1000             10          1               0:00:00.233          73023       0.51                74504        4.11
Benchmarks/Division  3          30             1000             10          2               0:00:00.260          73023       0.56                56932        3.97
Benchmarks/Division  3          30             1000             10          5               0:00:00.230          73023       0.50                63176        3.94
Benchmarks/Division  3          30             1000             10          10              0:00:00.192          73023       0.44                56460        3.99
Benchmarks/Division  3          30             1000             100         0               0:00:03.233          730023      3.53                188676       4.22
Benchmarks/Division  3          30             1000             100         1               0:00:03.162          730023      3.45                198948       4.10
Benchmarks/Division  3          30             1000             100         2               0:00:03.214          730023      3.48                202136       4.11
Benchmarks/Division  3          30             1000             100         5               0:00:03.217          730023      3.48                176552       4.11
Benchmarks/Division  3          30             1000             100         10              0:00:03.100          730023      3.37                187372       4.07
Benchmarks/Division  3          30             1000             1000        0               0:00:50.179          7300023     50.37               1376092      5.02
Benchmarks/Division  3          30             1000             1000        1               0:00:47.925          7300023     48.23               1303240      4.78
Benchmarks/Division  3          30             1000             1000        2               0:00:49.326          7300023     49.60               1534028      5.11
Benchmarks/Division  3          30             1000             1000        5               0:00:51.763          7300023     52.06               1473052      5.08
Benchmarks/Division  3          30             1000             1000        10              0:00:45.948          7300023     46.23               1463420      4.92
Benchmarks/Division  3          30             100              10          0               0:00:00.339          73023       0.53                54064        3.94
Benchmarks/Division  3          30             100              10          1               0:00:00.193          73023       0.38                70212        4.03
Benchmarks/Division  3          30             100              10          2               0:00:00.263          73023       0.52                62580        4.10
Benchmarks/Division  3          30             100              10          5               0:00:00.261          73023       0.55                64180        4.01
Benchmarks/Division  3          30             100              10          10              0:00:00.260          73023       0.46                62996        4.05
Benchmarks/Division  3          30             100              100         0               0:00:03.254          730023      3.45                170448       4.19
Benchmarks/Division  3          30             100              100         1               0:00:03.119          730023      3.40                181804       4.20
Benchmarks/Division  3          30             100              100         2               0:00:02.812          730023      3.00                182232       4.09
Benchmarks/Division  3          30             100              100         5               0:00:03.320          730023      3.61                180424       4.21
Benchmarks/Division  3          30             100              100         10              0:00:03.088          730023      3.26                188980       4.14
Benchmarks/Division  3          30             100              1000        0               0:00:52.095          7300023     52.29               1441336      5.02
Benchmarks/Division  3          30             100              1000        1               0:00:48.342          7300023     48.64               1452740      5.00
Benchmarks/Division  3          30             100              1000        2               0:00:46.452          7300023     46.73               1465700      5.04
Benchmarks/Division  3          30             100              1000        5               0:00:52.717          7300023     53.01               1286448      4.74
Benchmarks/Division  3          30             100              1000        10              0:00:45.870          7300023     46.15               1461264      4.79
Benchmarks/Division  3          100            25000            10          0               0:00:00.275          73023       0.56                70276        4.06
Benchmarks/Division  3          100            25000            10          1               0:00:00.277          73023       0.58                55044        4.16
Benchmarks/Division  3          100            25000            10          2               0:00:00.180          73023       0.45                66272        4.02
Benchmarks/Division  3          100            25000            10          5               0:00:00.350          73023       0.54                51888        4.06
Benchmarks/Division  3          100            25000            10          10              0:00:00.212          73023       0.50                54576        4.07
Benchmarks/Division  3          100            25000            100         0               0:00:03.475          730023      3.76                183268       4.25
Benchmarks/Division  3          100            25000            100         1               0:00:03.144          730023      3.40                171064       4.13
Benchmarks/Division  3          100            25000            100         2               0:00:03.473          730023      3.76                180068       4.24
Benchmarks/Division  3          100            25000            100         5               0:00:02.998          730023      3.26                196976       4.10
Benchmarks/Division  3          100            25000            100         10              0:00:03.317          730023      3.60                201384       4.03
Benchmarks/Division  3          100            25000            1000        0               0:00:46.720          7300023     47.01               1461784      4.83
Benchmarks/Division  3          100            25000            1000        1               0:00:48.603          7300023     48.91               1404884      4.94
Benchmarks/Division  3          100            25000            1000        2               0:00:50.447          7300023     50.73               1431432      5.01
Benchmarks/Division  3          100            25000            1000        5               0:00:45.869          7300023     46.07               1499436      4.97
Benchmarks/Division  3          100            25000            1000        10              0:00:47.408          7300023     47.71               1368996      4.85
Benchmarks/Division  3          100            10000            10          0               0:00:00.267          73023       0.47                61304        3.95
Benchmarks/Division  3          100            10000            10          1               0:00:00.266          73023       0.56                63440        4.07
Benchmarks/Division  3          100            10000            10          2               0:00:00.263          73023       0.56                60548        4.07
Benchmarks/Division  3          100            10000            10          5               0:00:00.260          73023       0.45                64120        4.02
Benchmarks/Division  3          100            10000            10          10              0:00:00.267          73023       0.56                68192        4.02
Benchmarks/Division  3          100            10000            100         0               0:00:03.288          730023      3.56                199656       4.02
Benchmarks/Division  3          100            10000            100         1               0:00:03.256          730023      3.54                184476       4.13
Benchmarks/Division  3          100            10000            100         2               0:00:03.150          730023      3.44                203360       4.15
Benchmarks/Division  3          100            10000            100         5               0:00:03.084          730023      3.34                189220       4.16
Benchmarks/Division  3          100            10000            100         10              0:00:02.748          730023      3.01                202724       4.16
Benchmarks/Division  3          100            10000            1000        0               0:00:51.027          7300023     51.32               1475660      5.08
Benchmarks/Division  3          100            10000            1000        1               0:00:46.249          7300023     46.44               1429484      4.88
Benchmarks/Division  3          100            10000            1000        2               0:00:53.935          7300023     54.24               1455588      5.25
Benchmarks/Division  3          100            10000            1000        5               0:00:49.416          7300023     49.71               1477732      5.07
Benchmarks/Division  3          100            10000            1000        10              0:00:51.131          7300023     51.34               1300724      4.87
Benchmarks/Division  3          100            1000             10          0               0:00:00.256          73023       0.51                53872        4.22
Benchmarks/Division  3          100            1000             10          1               0:00:00.251          73023       0.53                68332        4.07
Benchmarks/Division  3          100            1000             10          2               0:00:00.263          73023       0.55                68984        4.14
Benchmarks/Division  3          100            1000             10          5               0:00:00.216          73023       0.50                69072        4.17
Benchmarks/Division  3          100            1000             10          10              0:00:00.260          73023       0.56                54328        4.11
Benchmarks/Division  3          100            1000             100         0               0:00:03.276          730023      3.46                182308       4.03
Benchmarks/Division  3          100            1000             100         1               0:00:03.279          730023      3.57                171416       4.11
Benchmarks/Division  3          100            1000             100         2               0:00:03.027          730023      3.22                189276       4.18
Benchmarks/Division  3          100            1000             100         5               0:00:03.059          730023      3.34                193440       4.19
Benchmarks/Division  3          100            1000             100         10              0:00:02.993          730023      3.27                190844       4.20
Benchmarks/Division  3          100            1000             1000        0               0:00:46.374          7300023     46.66               1469184      4.90
Benchmarks/Division  3          100            1000             1000        1               0:00:49.820          7300023     50.12               1462956      4.84
Benchmarks/Division  3          100            1000             1000        2               0:00:47.743          7300023     48.04               1473752      4.83
Benchmarks/Division  3          100            1000             1000        5               0:00:47.454          7300023     47.76               1425680      5.01
Benchmarks/Division  3          100            1000             1000        10              0:00:48.027          7300023     48.30               1337716      4.89
Benchmarks/Division  3          100            100              10          0               0:00:00.258          73023       0.51                56712        4.06
Benchmarks/Division  3          100            100              10          1               0:00:00.255          73023       0.55                56676        4.14
Benchmarks/Division  3          100            100              10          2               0:00:00.175          73023       0.44                56004        4.10
Benchmarks/Division  3          100            100              10          5               0:00:00.263          73023       0.56                58824        3.98
Benchmarks/Division  3          100            100              10          10              0:00:00.262          73023       0.53                78368        4.13
Benchmarks/Division  3          100            100              100         0               0:00:03.083          730023      3.37                186400       4.27
Benchmarks/Division  3          100            100              100         1               0:00:03.264          730023      3.53                177368       4.23
Benchmarks/Division  3          100            100              100         2               0:00:02.761          730023      3.04                197244       4.12
Benchmarks/Division  3          100            100              100         5               0:00:03.681          730023      3.98                190568       4.22
Benchmarks/Division  3          100            100              100         10              0:00:03.321          730023      3.59                190928       4.12
Benchmarks/Division  3          100            100              1000        0               0:00:46.186          7300023     46.48               1481460      5.03
Benchmarks/Division  3          100            100              1000        1               0:00:51.406          7300023     51.61               1434800      4.87
Benchmarks/Division  3          100            100              1000        2               0:00:50.919          7300023     51.22               1387440      5.10
Benchmarks/Division  3          100            100              1000        5               0:00:47.270          7300023     47.54               1417148      5.02
Benchmarks/Division  3          100            100              1000        10              0:00:49.847          7300023     50.15               1468528      4.73
Benchmarks/Division  3          150            25000            10          0               0:00:00.192          73023       0.46                56272        3.92
Benchmarks/Division  3          150            25000            10          1               0:00:00.260          73023       0.54                58296        4.07
Benchmarks/Division  3          150            25000            10          2               0:00:00.252          73023       0.44                50836        4.05
Benchmarks/Division  3          150            25000            10          5               0:00:00.228          73023       0.41                56152        4.06
Benchmarks/Division  3          150            25000            10          10              0:00:00.218          73023       0.48                60360        4.05
Benchmarks/Division  3          150            25000            100         0               0:00:03.201          730023      3.46                183504       4.17
Benchmarks/Division  3          150            25000            100         1               0:00:03.094          730023      3.38                189084       4.13
Benchmarks/Division  3          150            25000            100         2               0:00:03.264          730023      3.56                181448       4.16
Benchmarks/Division  3          150            25000            100         5               0:00:02.796          730023      3.06                171336       4.07
Benchmarks/Division  3          150            25000            100         10              0:00:03.120          730023      3.38                192144       4.14
Benchmarks/Division  3          150            25000            1000        0               0:00:50.244          7300023     50.54               1308644      4.91
Benchmarks/Division  3          150            25000            1000        1               0:00:48.415          7300023     48.62               1467516      5.14
Benchmarks/Division  3          150            25000            1000        2               0:00:51.642          7300023     51.94               1465420      4.96
Benchmarks/Division  3          150            25000            1000        5               0:00:46.890          7300023     47.17               1392852      4.91
Benchmarks/Division  3          150            25000            1000        10              0:00:46.890          7300023     47.19               1463740      4.99
Benchmarks/Division  3          150            10000            10          0               0:00:00.212          73023       0.40                71328        4.16
Benchmarks/Division  3          150            10000            10          1               0:00:00.265          73023       0.55                52152        4.06
Benchmarks/Division  3          150            10000            10          2               0:00:00.257          73023       0.54                76252        4.10
Benchmarks/Division  3          150            10000            10          5               0:00:00.263          73023       0.53                74952        4.08
Benchmarks/Division  3          150            10000            10          10              0:00:00.261          73023       0.54                65220        4.10
Benchmarks/Division  3          150            10000            100         0               0:00:03.115          730023      3.30                191592       4.11
Benchmarks/Division  3          150            10000            100         1               0:00:03.155          730023      3.44                178944       4.20
Benchmarks/Division  3          150            10000            100         2               0:00:03.289          730023      3.56                183372       4.29
Benchmarks/Division  3          150            10000            100         5               0:00:03.062          730023      3.33                184444       4.23
Benchmarks/Division  3          150            10000            100         10              0:00:03.174          730023      3.45                178464       3.98
Benchmarks/Division  3          150            10000            1000        0               0:00:46.523          7300023     46.71               1451492      4.93
Benchmarks/Division  3          150            10000            1000        1               0:00:55.118          7300023     55.42               1458212      4.92
Benchmarks/Division  3          150            10000            1000        2               0:00:50.288          7300023     50.56               1359020      4.93
Benchmarks/Division  3          150            10000            1000        5               0:00:46.874          7300023     47.14               1457708      4.97
Benchmarks/Division  3          150            10000            1000        10              0:00:46.592          7300023     46.90               1444312      4.97
Benchmarks/Division  3          150            1000             10          0               0:00:00.276          73023       0.55                70788        4.05
Benchmarks/Division  3          150            1000             10          1               0:00:00.259          73023       0.55                56216        4.08
Benchmarks/Division  3          150            1000             10          2               0:00:00.251          73023       0.43                58956        4.02
Benchmarks/Division  3          150            1000             10          5               0:00:00.267          73023       0.56                57836        4.12
Benchmarks/Division  3          150            1000             10          10              0:00:00.267          73023       0.55                68240        4.09
Benchmarks/Division  3          150            1000             100         0               0:00:03.022          730023      3.29                197036       4.21
Benchmarks/Division  3          150            1000             100         1               0:00:03.033          730023      3.30                193816       4.09
Benchmarks/Division  3          150            1000             100         2               0:00:03.068          730023      3.32                180996       4.12
Benchmarks/Division  3          150            1000             100         5               0:00:03.391          730023      3.66                197024       4.20
Benchmarks/Division  3          150            1000             100         10              0:00:03.264          730023      3.55                188164       4.06
Benchmarks/Division  3          150            1000             1000        0               0:00:51.764          7300023     52.05               1462072      5.03
Benchmarks/Division  3          150            1000             1000        1               0:00:49.686          7300023     49.88               1309004      4.97
Benchmarks/Division  3          150            1000             1000        2               0:00:47.098          7300023     47.39               1465244      4.93
Benchmarks/Division  3          150            1000             1000        5               0:00:46.490          7300023     46.79               1461080      5.10
Benchmarks/Division  3          150            1000             1000        10              0:00:47.643          7300023     47.92               1364956      4.97
Benchmarks/Division  3          150            100              10          0               0:00:00.213          73023       0.47                68380        4.09
Benchmarks/Division  3          150            100              10          1               0:00:00.322          73023       0.51                58188        4.03
Benchmarks/Division  3          150            100              10          2               0:00:00.260          73023       0.54                63828        4.06
Benchmarks/Division  3          150            100              10          5               0:00:00.269          73023       0.56                58556        4.16
Benchmarks/Division  3          150            100              10          10              0:00:00.356          73023       0.55                55020        4.16
Benchmarks/Division  3          150            100              100         0               0:00:02.742          730023      3.02                192932       4.16
Benchmarks/Division  3          150            100              100         1               0:00:02.972          730023      3.23                178304       4.22
Benchmarks/Division  3          150            100              100         2               0:00:03.562          730023      3.85                188700       4.15
Benchmarks/Division  3          150            100              100         5               0:00:03.244          730023      3.44                179220       4.15
Benchmarks/Division  3          150            100              100         10              0:00:03.335          730023      3.63                165092       4.14
Benchmarks/Division  3          150            100              1000        0               0:00:51.866          7300023     52.14               1350932      4.95
Benchmarks/Division  3          150            100              1000        1               0:00:48.137          7300023     48.40               1337660      4.93
Benchmarks/Division  3          150            100              1000        2               0:00:46.965          7300023     47.24               1464232      4.94
Benchmarks/Division  3          150            100              1000        5               0:00:48.797          7300023     49.07               1372088      4.81
Benchmarks/Division  3          150            100              1000        10              0:00:47.065          7300023     47.27               1451828      4.91
