program;partysize;latencies(ms);bandwidths(Mbs);packetdrops(%);runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
Benchmarks/BitAND;3;100;25000;0;0:00:16.684;1519867;17.14;451376;4.26
Benchmarks/BitAND;3;100;25000;1;0:00:16.593;1519867;17.18;486036;4.12
Benchmarks/BitAND;3;100;25000;2;0:00:16.491;1519867;16.95;516084;4.31
Benchmarks/BitAND;3;100;25000;5;0:00:16.307;1519867;16.71;461860;4.15
Benchmarks/BitAND;3;100;25000;10;0:00:16.873;1519867;17.24;494464;4.37
Benchmarks/BitAND;3;100;10000;0;0:00:16.313;1519867;16.73;423044;4.20
Benchmarks/BitAND;3;100;10000;1;0:00:16.981;1519867;17.34;427288;4.34
Benchmarks/BitAND;3;100;10000;2;0:00:16.086;1519867;16.50;493584;4.24
Benchmarks/BitAND;3;100;10000;5;0:00:16.371;1519867;17.01;456060;4.31
Benchmarks/BitAND;3;100;10000;10;0:00:16.637;1519867;17.13;481064;4.22
Benchmarks/BitAND;3;100;1000;0;0:00:16.774;1519867;17.12;484272;4.33
Benchmarks/BitAND;3;100;1000;1;0:00:17.364;1519867;17.62;486108;4.16
Benchmarks/BitAND;3;100;1000;2;0:00:16.951;1519867;17.44;447892;4.22
Benchmarks/BitAND;3;100;1000;5;0:00:17.040;1519867;17.30;493388;4.21
Benchmarks/BitAND;3;100;1000;10;0:00:16.749;1519867;17.04;494280;4.16
Benchmarks/BitAND;3;100;100;0;0:00:16.695;1519867;17.01;491304;4.18
Benchmarks/BitAND;3;100;100;1;0:00:16.075;1519867;16.35;471336;4.30
Benchmarks/BitAND;3;100;100;2;0:00:16.803;1519867;17.17;432260;4.35
Benchmarks/BitAND;3;100;100;5;0:00:16.222;1519867;16.56;481260;4.18
Benchmarks/BitAND;3;100;100;10;0:00:17.188;1519867;17.52;476048;4.31
Benchmarks/BitAND;3;150;25000;0;0:00:16.705;1519867;16.96;477328;4.25
Benchmarks/BitAND;3;150;25000;1;0:00:16.284;1519867;16.85;476860;4.10
Benchmarks/BitAND;3;150;25000;2;0:00:16.937;1519867;17.50;463252;4.23
Benchmarks/BitAND;3;150;25000;5;0:00:16.340;1519867;16.60;489912;4.20
Benchmarks/BitAND;3;150;25000;10;0:00:16.725;1519867;17.09;460820;4.21
Benchmarks/BitAND;3;150;10000;0;0:00:16.949;1519867;17.21;515748;4.24
Benchmarks/BitAND;3;150;10000;1;0:00:16.136;1519867;16.41;491936;4.23
Benchmarks/BitAND;3;150;10000;2;0:00:16.409;1519867;16.59;469872;4.28
Benchmarks/BitAND;3;150;10000;5;0:00:16.678;1519867;16.92;488620;4.24
Benchmarks/BitAND;3;150;10000;10;0:00:17.533;1519867;17.86;447660;4.22
Benchmarks/BitAND;3;150;1000;0;0:00:17.333;1519867;17.51;506300;4.20
Benchmarks/BitAND;3;150;1000;1;0:00:17.392;1519867;17.68;433608;4.27
Benchmarks/BitAND;3;150;1000;2;0:00:16.793;1519867;16.99;495412;4.28
Benchmarks/BitAND;3;150;1000;5;0:00:17.342;1519867;17.81;478432;4.21
Benchmarks/BitAND;3;150;1000;10;0:00:16.710;1519867;17.04;436976;4.31
Benchmarks/BitAND;3;150;100;0;0:00:16.101;1519867;16.37;485932;4.26
Benchmarks/BitAND;3;150;100;1;0:00:17.139;1519867;17.33;500276;4.12
Benchmarks/BitAND;3;150;100;2;0:00:16.555;1519867;16.84;441528;4.19
Benchmarks/BitAND;3;150;100;5;0:00:16.629;1519867;16.98;499992;4.24
Benchmarks/BitAND;3;150;100;10;0:00:16.234;1519867;16.82;464072;4.37
