program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);RAMused(MB);System Time (s)
Benchmarks/Share;3;50;1000;1000000;1;0:00:02.106;19999107;8.16;362628;4.59
Benchmarks/Share;3;50;1000;1000000;2;0:00:02.132;19999188;6.43;358576;4.59
Benchmarks/Share;3;50;1000;1000000;5;0:00:02.124;19999233;23.88;362600;4.66
Benchmarks/Share;3;50;1000;1000000;10;0:00:02.043;19999290;48.22;372948;4.55
Benchmarks/Share;3;50;100;1000000;0;0:00:02.042;19999237;3.83;362672;4.59
Benchmarks/Share;3;50;100;1000000;1;0:00:02.118;19999185;11.32;364696;4.63
Benchmarks/Share;3;50;100;1000000;2;0:00:02.033;19999050;13.11;362712;4.61
Benchmarks/Share;3;50;100;1000000;5;0:00:02.240;19999187;24.75;354432;4.74
Benchmarks/Share;3;50;100;1000000;10;0:00:02.209;19999185;36.24;379152;4.68
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.136;19999161;4.23;366760;4.61
Benchmarks/Share;3;75;25000;1000000;1;0:00:02.042;19999187;13.70;356448;4.64
Benchmarks/Share;3;75;25000;1000000;2;0:00:02.026;19999029;21.78;360496;4.56
Benchmarks/Share;3;75;25000;1000000;5;0:00:02.050;19999090;29.68;374972;4.62
Benchmarks/Share;3;75;25000;1000000;10;0:00:02.209;19999044;51.69;366640;4.61
Benchmarks/Share;3;75;10000;1000000;0;0:00:02.119;19999301;4.21;358420;4.56
Benchmarks/Share;3;75;10000;1000000;1;0:00:02.061;19999165;10.95;356748;4.54
Benchmarks/Share;3;75;10000;1000000;2;0:00:02.290;19998964;5.29;364916;4.57
Benchmarks/Share;3;75;10000;1000000;5;0:00:02.224;19999279;33.14;362592;4.71
Benchmarks/Share;3;75;10000;1000000;10;0:00:02.166;19999314;75.91;370892;4.48
Benchmarks/Share;3;75;1000;1000000;0;0:00:02.348;19999169;4.36;352180;4.55
Benchmarks/Share;3;75;1000;1000000;1;0:00:02.039;19999466;8.47;362892;4.62
Benchmarks/Share;3;75;1000;1000000;2;0:00:02.276;19999196;19.63;364636;4.58
Benchmarks/Share;3;75;1000;1000000;5;0:00:02.042;19999211;29.68;352352;4.62
Benchmarks/Share;3;75;1000;1000000;10;0:00:02.252;19999472;57.05;354524;4.55
Benchmarks/Share;3;75;100;1000000;0;0:00:02.041;19999030;4.51;374860;4.47
Benchmarks/Share;3;75;100;1000000;1;0:00:02.045;19999088;5.35;362536;4.65
Benchmarks/Share;3;75;100;1000000;2;0:00:02.116;19999212;10.41;358784;4.56
Benchmarks/Share;3;75;100;1000000;5;0:00:02.032;19999225;32.65;366664;4.55
Benchmarks/Share;3;75;100;1000000;10;0:00:02.107;19999060;61.34;354484;4.57
