program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
Reveal;boolean_gmw;0;25;10000;1000000;10;9781.508;11.44;62;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;475.640;0.005;9287.344
Reveal;boolean_gmw;0;25;1000;1000000;0;634.345;0.78;62;20;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.823;0.005;472.685
Reveal;boolean_gmw;0;25;1000;1000000;1;689.991;2.25;64;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.816;0.003;528.402
Reveal;boolean_gmw;0;25;1000;1000000;2;2857.532;3.00;66;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.745;0.005;2693.412
Reveal;boolean_gmw;0;25;1000;1000000;5;5486.745;5.69;61;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;712.826;0.006;4754.065
Reveal;boolean_gmw;0;25;1000;1000000;10;7157.308;11.35;68;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;677.216;0.005;6458.614
Reveal;boolean_gmw;0;25;100;1000000;0;891.018;1.05;62;20;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.399;0.003;727.550
Reveal;boolean_gmw;0;25;100;1000000;1;942.060;2.16;70;8;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;143.550;0.005;779.261
Reveal;boolean_gmw;0;25;100;1000000;2;2941.688;3.09;65;6;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;144.697;0.004;2778.840
Reveal;boolean_gmw;0;25;100;1000000;5;6955.486;7.82;59;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;782.622;0.004;6153.245
Reveal;boolean_gmw;0;25;100;1000000;10;7750.617;9.26;70;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;387.571;0.005;7340.835
Reveal;boolean_gmw;0;50;25000;1000000;0;1087.421;1.43;64;9;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;242.827;0.005;827.988
Reveal;boolean_gmw;0;50;25000;1000000;1;1295.892;2.21;62;7;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;243.497;0.005;1034.776
Reveal;boolean_gmw;0;50;25000;1000000;2;2089.834;3.21;64;5;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;244.366;0.004;1824.276
Reveal;boolean_gmw;0;50;25000;1000000;5;8821.786;10.86;53;1;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;460.236;0.005;8343.990
